Frame No.,Time ,Local Temp [degC],Position x [cm],Position y [cm],Dist Opt [cm],Dist Opt Avg [cm],T Opt [degC]
1,12:40:05,30.3,33.3,29.8,33.3,33.3,36.3
2,12:40:06,30.3,33.3,29.3,33.3,33.3,36.3
3,12:40:07,30.2,33.6,28.7,33.6,33.4,36.4
4,12:40:08,30.2,33.6,28.7,33.6,33.5,36.4
5,12:40:09,30.2,33.8,28.4,33.9,33.6,36.4
6,12:40:10,30.3,34.1,28.2,34.1,33.6,36.4
7,12:40:11,30.3,34.4,28.3,34.5,33.8,36.4
8,12:40:12,30.4,35,28.6,35,33.9,36.4
9,12:40:13,30.3,35,29.3,35,34,36.4
10,12:40:14,30.3,35.1,30.4,35.1,34.1,36.4
11,12:40:15,30.3,35.5,30.8,35.6,34.4,36.4
12,12:40:16,30.3,36,30.7,36,34.6,36.4
13,12:40:17,30.2,36.1,30.7,36.1,34.9,36.5
14,12:40:18,30.2,36.5,30.6,36.5,35.2,36.5
15,12:40:19,30.3,36.6,30.4,36.6,35.4,36.5
16,12:40:20,30.4,37.2,29.9,37.2,35.8,36.5
17,12:40:21,30.3,37.7,29.8,37.7,36.1,36.5
18,12:40:22,30.3,38,30.2,38,36.4,36.5
19,12:40:23,30.3,38,30.8,38,36.7,36.5
20,12:40:24,30.3,38,31.4,38.1,37,36.5
21,12:40:25,30.3,37.6,31.8,37.6,37.2,36.5
22,12:40:26,30.3,37.4,32.3,37.4,37.3,36.5
23,12:40:27,30.3,37.5,32.7,37.6,37.5,36.4
24,12:40:28,30.2,37.7,33,37.8,37.6,36.4
25,12:40:29,30.2,37.8,33.3,38,37.7,36.4
26,12:40:30,30.2,37.7,33.7,37.9,37.8,36.4
27,12:40:31,30.2,37.4,33.8,37.6,37.8,36.4
28,12:40:32,30.2,37,33.8,37.2,37.7,35.8
29,12:40:33,30.2,36.8,33.4,37,37.6,35.8
30,12:40:34,30.1,36.3,32.8,36.4,37.4,35.8
31,12:40:35,30.1,36,32.6,36.1,37.3,35.8
32,12:40:36,30.1,35.5,32.9,35.7,37.1,35.8
33,12:40:37,30.1,35.3,33,35.4,36.9,35.8
34,12:40:38,30.1,35,32.9,35.1,36.6,35.8
35,12:40:39,30.1,34.9,32.6,35,36.3,35.8
36,12:40:40,30.1,34,32.5,34.1,35.9,35.8
37,12:40:41,30.1,34,32.4,34,35.6,35.8
