Frame No.,Time ,Local Temp [degC],Position x [cm],Position y [cm],Dist Opt [cm],Dist Opt Avg [cm],T Opt [degC]
1,12:39:30,27.3,34.4,27.3,34.5,34.5,35.7
2,12:39:30,27.3,35.6,27,35.7,35.1,35.7
3,12:39:31,27.3,35.8,27.7,35.9,35.4,35.7
4,12:39:32,27.3,34.9,27.7,35,35.3,35.7
5,12:39:33,27.5,34.6,26.9,34.7,35.2,35.8
6,12:39:34,27.6,34.9,25.7,35.2,35.2,35.8
7,12:39:35,27.5,35.8,24.9,36.2,35.3,35.8
8,12:39:36,27.5,35.2,23.9,35.7,35.4,35.8
9,12:39:37,27.5,33.8,23.6,34.4,35.3,35.8
10,12:39:38,27.5,33.5,24.5,33.9,35.1,35.9
11,12:39:39,27.5,32.4,25.5,32.8,35,35.9
12,12:39:40,27.6,31.4,26.9,31.6,34.5,35.9
13,12:39:41,27.8,30.4,27.9,30.5,34,35.9
14,12:39:42,27.8,30.6,27.9,30.7,33.6,35.9
15,12:39:43,28.1,30.9,28.8,30.9,33.2,35.9
16,12:39:44,28.2,30.9,30,30.9,32.7,35.9
17,12:39:45,27.7,31.8,30.2,31.8,32.3,35.9
18,12:39:46,27.7,33.3,30.2,33.3,32.1,35.9
19,12:39:47,27.7,34.5,29,34.5,32.1,35.9
20,12:39:48,27.5,36.3,28.2,36.3,32.3,35.9
21,12:39:49,27.5,36.7,29.5,36.8,32.7,35.9
22,12:39:50,27.7,35.6,30.4,35.6,33.1,35.9
23,12:39:51,27.8,34.7,31.7,34.7,33.5,35.9
24,12:39:52,27.8,34.3,33,34.4,33.9,35.9
25,12:39:53,27.8,33.7,31.6,33.7,34.2,35.8
26,12:39:54,27.8,34.9,31,34.9,34.6,35.8
27,12:39:55,27.7,36.1,31.8,36.1,35,35.8
28,12:39:56,27.8,37.4,33.6,37.6,35.5,35.8
29,12:39:57,27.9,36.7,35.1,37.1,35.7,35.8
30,12:39:58,28,36.7,36.9,37.4,35.8,35.7
31,12:39:59,27.9,38.1,38.2,39,36.1,35.7
32,12:40:00,27.8,38.6,39.6,39.7,36.5,35.7
33,12:40:01,27.8,39.4,38.7,40.3,37,35.7
34,12:40:02,27.9,38.3,37.8,39.1,37.5,35.7
35,12:40:03,28.1,36.3,37.4,37,37.8,35.6
36,12:40:04,28,34.7,37.3,35.5,37.9,35.6
37,12:40:05,28,34.7,39,35.8,37.9,35.6
38,12:40:06,28,36.2,39.7,37.5,37.8,35.6
39,12:40:07,28,37.4,38.6,38.4,38,35.6
40,12:40:08,28.1,36.3,37.1,37,37.9,35.6
41,12:40:09,28.1,34.6,36.4,35.2,37.6,35.6
42,12:40:10,28.1,32.6,35.8,33.1,36.9,35.6
43,12:40:11,28.1,30.4,36,31,36,35.6
44,12:40:12,28.2,28.5,35.6,29,34.9,35.6
45,12:40:13,28.2,28,35,28.5,34.1,35.5
46,12:40:14,28.2,28.7,35.5,29.2,33.5,35.5
47,12:40:15,28.1,28.4,36.9,29.2,32.8,35.5
48,12:40:16,28.1,27.2,37.9,28.4,31.9,35.5
49,12:40:17,28.1,26.2,39.4,27.8,30.8,35.5
50,12:40:18,28.2,27.2,40.9,29.3,30.1,35.3
51,12:40:19,28.2,26,41.6,28.5,29.4,35.3
52,12:40:20,28.3,25.1,40.6,27.2,28.8,35.3
53,12:40:21,28.4,23.9,39.1,25.6,28.3,35.3
54,12:40:22,29.8,22,38.7,23.6,27.7,35.3
55,12:40:23,30.3,20.4,38.1,22,27.1,35.3
56,12:40:24,30.6,18.9,38.7,20.8,26.2,35.3
57,12:40:25,30.8,17,39.6,19.5,25.3,35.3
58,12:40:26,31,15.1,40.4,18.3,24.3,35.3
59,12:40:27,31.2,13.3,40,16.6,23.1,35.3
60,12:40:28,31.3,11.6,39.7,15.1,21.7,35.1
61,12:40:29,32.2,10.1,39.3,13.7,20.3,35.1
62,12:40:30,32.5,9.1,38.8,12.6,18.8,35.1
63,12:40:31,33,9,37.8,11.9,17.4,35.1
64,12:40:32,33,9.2,37.8,12.1,16.3,35.1
65,12:40:33,33,9.4,37.6,12.1,15.3,35.1
66,12:40:34,33.2,9.3,36.7,11.4,14.3,35.3
67,12:40:35,33.6,8.4,35.8,10.2,13.4,35.3
68,12:40:36,33.9,7.3,35.4,9,12.5,35.3
69,12:40:37,34.3,6.5,34.4,7.8,11.6,35.3
70,12:40:38,34.7,5.7,33.9,6.9,10.8,35.3
71,12:40:39,35,4.4,33.6,5.7,10,35.3
72,12:40:40,35.3,4,34.5,6,9.3,35.3
73,12:40:41,34.9,3.5,35.3,6.3,8.8,35.3
74,12:40:42,34.5,3.3,36.4,7.2,8.3,35.3
75,12:40:43,34,2.5,37.5,7.9,7.9,35.2
76,12:40:44,33.6,2.8,38.5,8.9,7.6,35.2
77,12:40:45,33.4,3.9,38.5,9.3,7.5,35.2
78,12:40:46,33.7,4.5,37.1,8.4,7.5,35.2
79,12:40:47,34.6,3.7,35.7,6.8,7.4,35.2
80,12:40:48,35.1,2.7,34.5,5.3,7.2,35.3
81,12:40:49,35.2,2.3,34.2,4.8,7.1,35.3
82,12:40:50,35.2,1.8,34.2,4.6,7,35.3
83,12:40:51,35,1.5,34.8,5,6.8,35.3
84,12:40:52,34.8,1.6,35.5,5.7,6.7,35.3
85,12:40:53,34.7,1.9,36.1,6.4,6.5,35.3
86,12:40:54,34.7,2.4,36.2,6.7,6.3,35.4
87,12:40:55,34.8,3.2,35.8,6.6,6,35.4
88,12:40:56,34.8,3.5,35.7,6.7,5.9,35.4
89,12:40:57,34.9,3.5,35.5,6.5,5.8,35.4
90,12:40:58,35.4,3.6,34.6,5.9,5.9,35.6
91,12:40:59,35.7,3.3,33.3,4.6,5.9,35.6
92,12:41:00,35.8,3.2,32.2,3.9,5.8,35.6
93,12:41:01,35.8,2.6,31.9,3.2,5.6,35.6
94,12:41:02,35.7,1.8,32.1,2.8,5.3,35.6
95,12:41:03,35.7,1.1,31.7,2,4.9,35.5
96,12:41:04,35.7,1.5,31.9,2.4,4.5,35.5
97,12:41:05,35.7,1.9,32.3,3,4.1,35.5
98,12:41:06,35.7,1.9,32.7,3.4,3.8,35.5
99,12:41:07,35.7,1.7,32.7,3.2,3.4,35.5
100,12:41:08,35.7,1.4,33.1,3.4,3.2,35.6
101,12:41:09,35.7,1.2,33,3.2,3,35.6
