Frame No.,Time ,Local Temp [degC],Position x [cm],Position y [cm],Dist Opt [cm],Dist Opt Avg [cm],T Opt [degC]
1,17:57:35,28.2,41.4,28.4,41.4,41.4,35.6
2,17:57:36,28.1,42.2,29.9,42.2,41.8,35.6
3,17:57:37,28,43.4,30.3,43.4,42.4,35.6
4,17:57:38,28.1,44.9,31.3,44.9,43,35.6
5,17:57:39,28.4,45.6,32.3,45.7,43.5,35.6
6,17:57:40,28.8,46,33.9,46.2,44,35.6
7,17:57:41,28.7,46.8,35.1,47.1,44.4,35.8
8,17:57:42,28.6,47.1,35.5,47.4,44.8,35.8
9,17:57:43,28.8,46.8,37.1,47.4,45.1,35.8
10,17:57:44,28.7,47,38.9,47.8,45.4,35.8
11,17:57:45,28.9,46.4,40.3,47.5,46,35.8
12,17:57:46,28.9,45.5,41.5,46.9,46.4,36.1
13,17:57:47,29,45.4,42.7,47.1,46.8,36.1
14,17:57:48,28.9,46,43.8,48.1,47.1,36.1
15,17:57:49,28.4,47,45.3,49.4,47.5,36.1
16,17:57:50,28.3,46.7,45.7,49.3,47.8,36.1
17,17:57:51,28.3,47.2,46.5,50,48.1,36.1
18,17:57:52,28.1,48.4,47.4,51.5,48.5,36.1
19,17:57:53,28.1,49.5,48.3,52.7,49,36.1
20,17:57:54,28.1,50.7,49.4,54.3,49.7,36.1
21,17:57:55,28.1,51.3,50.6,55.3,50.4,36.1
22,17:57:56,28.2,50.8,51.4,55.1,51.3,36.3
23,17:57:57,28.2,50.4,51.7,54.8,52,36.3
24,17:57:58,28,49.3,52.7,54.3,52.7,36.3
25,17:57:59,27.9,48.3,53.7,53.8,53.1,36.3
26,17:58:00,27.9,47,54.3,52.9,53.5,36.3
27,17:58:01,27.8,46,54.4,52.1,53.7,36.3
28,17:58:02,27.6,44.6,54.1,50.7,53.6,36.3
29,17:58:03,27.8,43,54,49.2,53.3,36.3
30,17:58:04,28.1,41.5,54.5,48.2,52.6,36.3
31,17:58:05,28.3,40.4,54.7,47.4,51.9,36.3
32,17:58:06,28.5,39.8,54.3,46.6,51,36.4
33,17:58:07,28.5,39.8,54.4,46.7,50.2,36.4
34,17:58:08,28.5,39.7,54.5,46.7,49.4,36.4
35,17:58:09,28.6,39.4,54.7,46.5,48.7,36.4
36,17:58:10,28.6,39,55.5,46.6,48.1,36.4
37,17:58:11,28.5,37.9,56.2,46.1,47.5,36.4
38,17:58:12,28.5,36.9,56.3,45.3,46.9,36.4
39,17:58:13,28.7,35.3,56.2,43.9,46.4,36.4
40,17:58:14,28.8,34.3,55.8,42.9,45.9,36.4
41,17:58:15,28.9,33.7,54.5,41.7,45.3,36.4
42,17:58:16,28.9,33,53.8,40.7,44.7,36.3
43,17:58:17,28.9,31.6,53.5,39.4,44,36.3
44,17:58:18,28.9,30.9,52.6,38.3,43.1,36.3
45,17:58:19,28.9,29.1,52,36.5,42.1,36.3
46,17:58:20,28.9,27.8,52.4,35.7,41,36.3
47,17:58:21,29.1,26.7,52.5,34.9,39.9,36.2
48,17:58:22,29.2,25.2,52.6,33.9,38.8,36.2
49,17:58:23,29.2,23.9,52.4,32.8,37.7,36.2
50,17:58:24,29.3,22.6,52.3,31.7,36.6,36.2
51,17:58:25,29.4,21.3,51.9,30.6,35.4,36.3
52,17:58:26,29.6,19.8,51.7,29.4,34.3,36.3
53,17:58:27,29.9,18.6,51.3,28.3,33.2,36.3
54,17:58:28,30.3,17.2,50.5,26.8,32.1,36.3
55,17:58:29,30.8,16.2,49.4,25.3,30.9,36.3
56,17:58:30,31.2,14.7,48.6,23.8,29.7,36.3
57,17:58:31,31.2,13.3,48.4,22.7,28.5,36.2
58,17:58:32,31.3,12,48.6,22.2,27.3,36.2
59,17:58:33,31.3,11.1,48.3,21.4,26.2,36.2
60,17:58:34,31.5,10.3,48,20.7,25.1,36.2
61,17:58:35,31.5,9.4,48.3,20.6,24.1,36.2
62,17:58:36,31.3,9.4,48.3,20.6,23.2,36.3
63,17:58:37,31.5,8.6,47.6,19.6,22.4,36.3
64,17:58:38,31.6,7.9,46.3,18.1,21.5,36.3
65,17:58:39,31.8,7.1,45.1,16.7,20.6,36.3
66,17:58:40,32.4,6.1,43.8,15.1,19.8,36.3
67,17:58:41,32.6,5.3,42.3,13.4,18.8,36.3
68,17:58:42,33,5,41.1,12.1,17.8,36.3
69,17:58:43,33.1,5.7,40.3,11.8,16.9,36.3
70,17:58:44,33.5,6.2,39.2,11.1,15.9,36.3
71,17:58:45,33.9,6.7,38.1,10.5,14.9,36.3
72,17:58:46,34.1,7.7,37.6,10.8,13.9,36.2
73,17:58:47,33.8,8.7,37.9,11.8,13.1,36.2
74,17:58:48,33.5,10,38.3,13,12.6,36.2
75,17:58:49,32.5,11.6,38.2,14.2,12.4,36.2
76,17:58:50,32.8,13,37.6,15.1,12.4,36
77,17:58:51,32.6,14.3,37.9,16.3,12.7,36
78,17:58:52,32.5,14.6,38,16.7,13.1,36
79,17:58:53,32.6,15.1,37.7,16.9,13.6,36
80,17:58:54,32.4,16,37.8,17.8,14.3,36
81,17:58:55,32.2,17.1,38.4,19.1,15.2,36
82,17:58:56,32.2,18.4,39.2,20.5,16.1,36.2
83,17:58:57,32.1,18.5,40,21,17.1,36.2
84,17:58:58,32.1,17.6,41.2,20.8,17.8,36.2
85,17:58:59,31.9,17.2,42.8,21.5,18.6,36.2
86,17:59:00,31,17,44.6,22.4,19.3,36.2
87,17:59:01,31.1,16.1,46,22.7,19.9,36.1
88,17:59:02,31.2,14.3,46.6,21.9,20.5,36.1
89,17:59:03,31.2,12.9,47.2,21.5,20.9,36.1
90,17:59:04,31.6,11.7,46.5,20.2,21.2,36.1
91,17:59:05,32.2,10.5,45.3,18.6,21.1,36.1
92,17:59:06,32.4,10,43.8,17,20.8,35.9
93,17:59:07,32.6,9.2,42.3,15.4,20.2,35.9
94,17:59:08,32.8,8.6,41.6,14.4,19.6,35.9
95,17:59:09,33.1,8.8,40.5,13.8,18.8,35.9
96,17:59:10,33.1,9.8,40.1,14,18,36.1
97,17:59:11,32.6,10.7,40,14.6,17.1,36.1
