Frame No.,Time ,Local Temp [degC],Position x [cm],Position y [cm],Dist Opt [cm],Dist Opt Avg [cm],T Opt [degC]
1,14:33:55,34.8,33.8,28.1,33.8,33.8,36
2,14:33:55,34.9,33.1,28.7,33.1,33.5,36
3,14:33:56,35.1,31.6,29.8,31.6,32.8,36.1
4,14:33:57,35.4,30,29.9,30,32.1,36.1
5,14:33:58,35.4,29.5,29.8,29.5,31.6,36.1
6,14:33:59,35.4,29.5,29.6,29.5,31.3,36.1
7,14:34:00,35.4,28.4,28.5,28.4,30.9,36.1
8,14:34:01,35.3,28.5,27.5,28.6,30.6,36.2
9,14:34:02,35.2,29.8,26.7,30,30.5,36.2
10,14:34:03,35,31.4,26.6,31.5,30.6,36.2
11,14:34:04,35,32.6,26.7,32.8,30.5,36.2
12,14:34:05,35,34.2,27.6,34.3,30.6,36.2
13,14:34:06,35.1,33.9,29.6,33.9,30.9,36.2
14,14:34:07,35.2,34.3,31.5,34.4,31.3,36.2
15,14:34:08,35.1,35.7,32.4,35.8,31.9,36.2
16,14:34:09,35,37.2,31.6,37.2,32.7,36.2
17,14:34:10,34.8,37.5,29.9,37.5,33.6,36.2
18,14:34:11,34.9,39,29.1,39,34.6,36.3
19,14:34:12,35,40.7,29.9,40.7,35.7,36.3
20,14:34:13,35.2,40.2,31.3,40.2,36.6,36.3
21,14:34:14,35.1,39.3,30.5,39.3,37.2,36.3
22,14:34:15,34.9,39.7,29.9,39.7,37.8,36.3
23,14:34:16,35,41.1,28.4,41.2,38.5,36.3
24,14:34:17,35.1,42.2,29,42.2,39.3,36.3
25,14:34:18,35.1,41.7,30.2,41.7,39.9,36.3
26,14:34:19,35.1,41.1,30.3,41.1,40.3,36.3
27,14:34:20,35,40.8,28.7,40.8,40.6,36.3
28,14:34:21,34.8,40.5,26.8,40.6,40.7,36.2
29,14:34:22,34.7,40,25.3,40.3,40.7,36.2
30,14:34:23,34.8,39.4,23.5,40,40.7,36.2
31,14:34:24,34.9,38.6,22,39.5,40.7,36.2
32,14:34:25,35,37.4,20.8,38.5,40.6,36.2
33,14:34:26,35.1,37,19.8,38.4,40.3,36.1
34,14:34:27,35.2,36.5,18.1,38.4,39.9,36.1
35,14:34:28,35.2,35.7,16.9,38,39.6,36.1
36,14:34:29,35.1,34.5,16.1,37.2,39.2,36.1
37,14:34:30,35.1,33.8,15.1,36.9,38.8,36.1
38,14:34:31,35.2,32.7,13.8,36.5,38.4,36.2
39,14:34:32,35.4,33.2,12.1,37.7,38.1,36.2
40,14:34:33,35.5,34.4,10.9,39.4,38.1,36.2
41,14:34:34,35.5,35.5,9.5,41,38.2,36.2
42,14:34:35,35.5,36,8,42.2,38.6,36.2
43,14:34:36,35.4,36.9,6.6,43.7,39.1,36.3
44,14:34:37,35.4,37.4,5.1,44.9,39.8,36.3
45,14:34:38,35.4,37.8,4.2,45.8,40.5,36.3
46,14:34:39,35.4,37.7,3.6,46.1,41.4,36.3
47,14:34:40,35.4,38.2,2.2,47.2,42.4,36.3
48,14:34:41,35.3,39.5,2.3,48.3,43.6,36.5
49,14:34:42,35.4,40.7,3,48.8,44.7,36.5
50,14:34:43,35.4,41.7,4.8,48.7,45.7,36.5
51,14:34:44,35.5,43.3,6.3,49.4,46.5,36.5
52,14:34:45,35.5,44.7,7.7,49.9,47.3,36.5
53,14:34:46,35.5,46.5,8.6,51.2,48,36.2
54,14:34:47,35.3,48.1,9,52.4,48.8,36.2
55,14:34:48,35.2,49.4,10.1,53.3,49.5,36.2
56,14:34:49,35.2,50.8,10.6,54.4,50.4,36.2
57,14:34:50,35.2,52,10.9,55.4,51.2,36.2
58,14:34:51,35.1,52.7,11.8,55.8,51.9,36.2
59,14:34:52,35.1,53.6,12.5,56.4,52.7,36.2
60,14:34:53,35.3,54.2,13.9,56.6,53.5,36.2
61,14:34:54,35.4,54.3,15.4,56.2,54.2,36.2
62,14:34:55,35.5,54.1,16.5,55.8,54.7,36.2
63,14:34:56,35.4,52.7,17.2,54.3,55.1,36.2
64,14:34:57,35.3,51.3,17.4,52.8,55.1,36.2
65,14:34:58,35.2,50.1,16.2,52,55,36.2
66,14:34:59,35.2,48.6,15.2,50.8,54.6,36.2
67,14:35:00,35.3,47.3,13.8,50,54.1,36.2
68,14:35:01,35.5,45.5,12.9,48.6,53.3,36.1
69,14:35:02,35.6,44.8,13,47.9,52.5,36.1
70,14:35:03,35.6,43.9,12.9,47.1,51.5,36.1
71,14:35:04,35.6,43.3,12.9,46.5,50.6,36.1
72,14:35:05,35.6,42.6,12.8,45.9,49.6,36.1
73,14:35:06,35.6,41.7,11.8,45.5,48.7,36
74,14:35:07,35.5,41.1,10.5,45.5,48,36
75,14:35:08,35.2,40.1,9.7,45,47.3,36
76,14:35:09,35,39.3,8.4,44.9,46.7,36
77,14:35:10,35.1,38.8,7.1,45,46.2,36
78,14:35:11,35.1,38.2,5.9,45.2,45.8,35.9
79,14:35:12,35.2,38.1,4.6,45.8,45.6,35.9
80,14:35:13,35.2,38.8,3.5,47,45.6,35.9
81,14:35:14,35.2,39.1,2.5,47.8,45.7,35.9
82,14:35:15,35.3,39.5,2.5,48.2,46,35.9
83,14:35:16,35.4,40.9,3.2,48.9,46.3,35.8
84,14:35:17,35.6,43.1,3.7,50.5,46.8,35.8
85,14:35:18,35.4,44.9,4.4,51.7,47.5,35.8
86,14:35:19,35.3,46.7,5.6,52.7,48.3,35.8
87,14:35:20,35.1,48.2,6.6,53.6,49.1,35.8
88,14:35:21,34.8,49.2,7.7,54,50,35.8
89,14:35:22,34.5,50.7,8.9,54.9,50.9,35.8
90,14:35:23,34.5,51.5,10.4,55.1,51.7,35.8
91,14:35:24,34.6,52.6,11.7,55.7,52.5,35.8
92,14:35:25,34.7,52.8,13.2,55.4,53.2,35.8
93,14:35:26,35.1,53.5,14.7,55.7,53.9,35.7
94,14:35:27,35.4,54.8,15.9,56.6,54.5,35.7
95,14:35:28,35.7,55.7,17.3,57.1,55.1,35.7
96,14:35:29,35.9,56.7,18.5,57.9,55.6,35.7
97,14:35:30,36.1,57.7,20,58.6,56.1,35.7
98,14:35:31,36,58.4,21.5,59,56.6,35.7
99,14:35:32,36.1,58.8,22.7,59.2,57,35.7
100,14:35:33,36.1,57.3,24.1,57.6,57.3,35.7
101,14:35:34,36,56.1,26.3,56.3,57.3,35.7
102,14:35:35,35.8,54.5,28.4,54.6,57.2,35.7
103,14:35:36,35.6,52.4,28.6,52.4,56.9,35.8
104,14:35:37,35.5,50.9,28.1,50.9,56.4,35.8
105,14:35:38,35.7,51.9,27.1,52,55.8,35.8
106,14:35:39,35.7,53.5,28.3,53.6,55.4,35.8
107,14:35:40,35.8,54.9,29.8,54.9,55,35.8
108,14:35:41,35.7,56,31.1,56,54.7,35.9
109,14:35:42,35.7,57.2,32.6,57.2,54.5,35.9
110,14:35:43,35.6,57.8,34.5,58,54.6,35.9
111,14:35:44,35.5,57,35.2,57.3,54.7,35.9
112,14:35:45,35.4,55.6,36.1,55.9,54.8,35.9
113,14:35:46,35.3,53.8,37.3,54.2,55,35.9
114,14:35:47,35.2,52.5,38.6,53.2,55.2,35.9
115,14:35:48,35.2,51.9,40.2,52.9,55.3,35.9
116,14:35:49,35.1,51,41.6,52.3,55.2,35.9
117,14:35:50,35,49.9,42.7,51.5,54.9,35.9
118,14:35:51,35.1,48.4,41.9,49.9,54.2,35.8
119,14:35:52,35,46.5,41.7,47.9,53.3,35.8
120,14:35:53,34.9,44.4,41.8,46,52.1,35.8
121,14:35:54,34.9,42.6,42.7,44.5,50.8,35.8
122,14:35:55,35.2,41.1,42,42.9,49.5,35.8
123,14:35:56,35.2,42.2,40.4,43.4,48.4,35.7
124,14:35:57,35.4,43.9,39.3,44.8,47.6,35.7
125,14:35:58,35.2,46.8,39,47.7,47.1,35.7
126,14:35:59,35.1,49.3,39.4,50.2,46.9,35.7
127,14:36:00,35.1,50.6,40.7,51.7,46.9,35.7
128,14:36:01,34.9,50.1,43.3,51.8,47.1,35.7
129,14:36:02,34.7,49.4,45.8,51.9,47.5,35.7
130,14:36:03,34.7,48.9,48.1,52.1,48.1,35.7
131,14:36:04,34.8,46.9,49.4,50.8,48.7,35.7
132,14:36:05,35,44.9,49.5,48.9,49.3,35.7
133,14:36:06,35.1,42.4,49.1,46.5,49.6,35.8
134,14:36:07,35.1,42,50.6,46.8,49.8,35.8
135,14:36:08,35.1,44.1,50.8,48.7,50,35.8
136,14:36:09,34.9,46,49.3,49.9,49.9,35.8
137,14:36:10,34.6,48.6,48.4,52,50,35.8
138,14:36:11,34.5,50.3,46.9,53.1,50.1,35.7
139,14:36:12,34.6,52.3,46.1,54.7,50.4,35.7
140,14:36:13,34.6,54.1,46.5,56.6,50.8,35.7
141,14:36:14,34.5,53.4,47.9,56.3,51.4,35.7
142,14:36:15,34.4,51.8,50,55.6,52,35.7
143,14:36:16,34.4,50.6,51.6,55,52.9,35.8
144,14:36:17,34.6,49.1,53,54.2,53.6,35.8
145,14:36:18,34.9,47,54.2,52.9,54,35.8
146,14:36:19,35.2,44.4,55.5,51.2,54.2,35.8
147,14:36:20,35.6,43.3,56.7,50.9,54,35.8
148,14:36:21,36.1,41.1,57.8,49.6,53.7,35.7
149,14:36:22,36.3,39.3,58.7,48.7,53.1,35.7
150,14:36:23,36.4,38,58.4,47.4,52.2,35.7
151,14:36:24,36.3,36.7,58.8,46.7,51.2,35.7
152,14:36:25,36.1,34.7,59.6,45.6,50.2,35.7
153,14:36:26,35.5,33,59.6,44.3,49.2,35.7
154,14:36:27,35.1,30.8,58.9,42.3,48,35.7
155,14:36:28,35,28.6,57.5,39.7,46.6,35.7
156,14:36:29,35.1,26.4,56.2,37.2,45.2,35.7
157,14:36:30,35.2,25.2,54.1,34.9,43.6,35.7
158,14:36:31,35.5,23.6,52.3,32.5,41.9,35.6
159,14:36:32,35.4,22.7,53.2,32.5,40.3,35.6
160,14:36:33,35.3,22,54.4,32.9,38.8,35.6
161,14:36:34,35.2,22.6,55.5,34.1,37.6,35.6
162,14:36:35,35.2,23.4,57.3,35.9,36.6,35.6
163,14:36:36,34.9,23.8,58.9,37.4,35.9,35.6
164,14:36:37,34.9,25,59.3,38.5,35.6,35.6
165,14:36:38,35.1,27.3,59.1,39.8,35.6,35.6
166,14:36:39,35.2,29.7,58.4,41.1,36,35.6
167,14:36:40,35.3,31.6,58.1,42.3,36.7,35.6
168,14:36:41,35.8,33.4,59.4,44.5,37.9,35.6
169,14:36:42,36.1,35.1,59.4,45.8,39.2,35.6
170,14:36:43,36.2,35.9,58.5,45.9,40.5,35.6
171,14:36:44,36.1,34.7,57.7,44.4,41.6,35.6
172,14:36:45,35.7,34,55.4,42.4,42.2,35.6
173,14:36:46,35.6,34.5,55.2,42.7,42.7,35.6
174,14:36:47,35.8,35.9,56.1,44.4,43.3,35.6
175,14:36:48,35.9,35.7,58.4,45.6,43.9,35.6
176,14:36:49,35.8,34.3,59.6,45.3,44.3,35.6
177,14:36:50,35.6,31.8,59.6,43.4,44.4,35.6
178,14:36:51,35.2,29.3,59.2,41.4,44.1,35.6
179,14:36:52,35.1,26.6,58.5,39,43.4,35.6
180,14:36:53,35,23.9,57.9,36.7,42.5,35.6
181,14:36:54,35,21.8,57.4,35,41.6,35.6
182,14:36:55,35.1,21.1,56.6,34,40.8,35.6
183,14:36:56,35.1,22.4,56.3,34.6,39.9,35.6
184,14:36:57,35.2,25.5,55.9,36.3,39.1,35.6
185,14:36:58,35.3,28.2,55.9,38.3,38.4,35.6
186,14:36:59,35.3,30.6,55.5,39.8,37.8,35.6
187,14:37:00,35.4,32.6,55.2,41.2,37.6,35.6
188,14:37:01,35.5,33.5,56.5,42.8,37.8,35.6
189,14:37:02,35.7,35.2,57,44.4,38.3,35.6
190,14:37:03,35.7,35,55.8,43.5,39,35.6
191,14:37:04,35.5,33.9,53.9,41.5,39.6,35.6
192,14:37:05,35.4,32.7,54.7,41,40.3,35.6
193,14:37:06,35.4,31.3,56.5,41,41,35.6
194,14:37:07,35.3,29.4,58.6,41.1,41.4,35.6
195,14:37:08,35.1,27.5,59.6,40.4,41.7,35.6
196,14:37:09,35,25.8,59.5,39.2,41.6,35.6
197,14:37:10,34.9,24.1,59.1,37.7,41.2,35.6
198,14:37:11,35,22.2,58.8,36.4,40.6,35.7
199,14:37:12,35,20.8,58.3,35.1,39.7,35.7
200,14:37:13,35.3,18.8,56.8,32.7,38.6,35.7
201,14:37:14,35.4,16.3,56.3,30.9,37.6,35.7
202,14:37:15,35.4,14.3,55.2,29,36.3,35.7
203,14:37:16,35.4,12.4,53.5,26.6,34.9,35.7
204,14:37:17,35.5,9.9,51.1,23.3,33.1,35.6
205,14:37:18,35.7,8.5,49.8,21.6,31.2,35.6
206,14:37:19,35.7,8.2,49.6,21.2,29.5,35.6
207,14:37:20,35.9,7.6,48.8,20.2,27.7,35.6
208,14:37:21,36.2,6.4,47.1,18.2,25.9,35.5
209,14:37:22,36.4,4.9,44.2,15.1,23.9,35.5
210,14:37:23,36.6,3.6,42.8,13.3,21.9,35.5
211,14:37:24,36.5,3.3,41.9,12.4,20.1,35.5
212,14:37:25,36.2,2.5,39.9,10.2,18.2,35.5
213,14:37:26,35.9,2.8,38.2,8.7,16.4,35.4
214,14:37:27,36.3,5.2,37.3,9,15,35.4
215,14:37:28,36.4,6.9,37.7,10.4,13.9,35.4
216,14:37:29,36.6,8.5,39.3,12.6,13,35.4
217,14:37:30,36.7,10.8,40.4,15,12.5,35.4
218,14:37:31,36.4,12.8,41.7,17.4,12.4,35.4
219,14:37:32,36.1,15.1,43.1,20,12.9,35.4
220,14:37:33,35.4,17.4,44.6,22.7,13.8,35.4
221,14:37:34,35,18.9,44.1,23.6,15,35.4
222,14:37:35,34.4,21.9,43.4,25.7,16.5,35.4
223,14:37:36,34.6,24.8,42.7,27.8,18.4,35.5
224,14:37:37,35.1,27.7,42.3,30.4,20.5,35.5
225,14:37:38,35,30.6,43.5,33.4,22.8,35.5
226,14:37:39,35.3,32.7,45.4,36.2,25.2,35.5
